model,model_name,sku,status,brand,category,article_number,article_name,ean,qty,price,size,color,name_en,short_desc_en,full_description_en,image
B2B-APRN,B2B Apron with pocket Ramsey,B2B-APRNBL,1,Back To Basics,,B2B-APRNBL,B2B Apron with pocket Ramsey,"6,10E+12",1,"1,2",one size,black,Apron with pocket Ramsey black one size,Apron with pocket Ramsey black one size,"Deze halterschort is duurzaam geproduceerd en ontwikkeld voor de horeca-sector en de hobby-kok. Zware kwaliteit.<br/><br/>- Dubbel gestikte naden en 60°C wasbaar.<br/>- Verstelbare gesp in de nek voor meer comfort. Rugsluiting d.m.v. een lint.<br/>- Grote, dubbele zak vooraan.<br/>- Duurzaam 225-grams halterschort, vervaardigd uit 35% voorgekrompen katoen en 65% gerecycled polyester. <br/>- Geschikt voor zowel thuis als in de horeca.<br/>- Beschikbaar in één maat (LxB 90x75cm). <br/>- Dit artikel heeft een merklabel.",https://tghimages.nl/B2B_APRN_BLACK_FRONT.JPG
B2B-APRN,B2B Apron with pocket Ramsey,B2B-APRNGR,1,Back To Basics,,B2B-APRNGR,B2B Apron with pocket Ramsey,"6,10E+12",1,"1,3",one size,grey,Apron with pocket Ramsey grey one size,Apron with pocket Ramsey grey one size,"Deze halterschort is duurzaam geproduceerd en ontwikkeld voor de horeca-sector en de hobby-kok. Zware kwaliteit.<br/><br/>- Dubbel gestikte naden en 60°C wasbaar.<br/>- Verstelbare gesp in de nek voor meer comfort. Rugsluiting d.m.v. een lint.<br/>- Grote, dubbele zak vooraan.<br/>- Duurzaam 225-grams halterschort, vervaardigd uit 35% voorgekrompen katoen en 65% gerecycled polyester. <br/>- Geschikt voor zowel thuis als in de horeca.<br/>- Beschikbaar in één maat (LxB 90x75cm). <br/>- Dit artikel heeft een merklabel.",https://tghimages.nl/B2B_APRN_GREY_FRONT.JPG
B2B-APRN,B2B Apron with pocket Ramsey,B2B-APRNNA,1,Back To Basics,,B2B-APRNNA,B2B Apron with pocket Ramsey,"6,10E+12",1,"1,4",one size,navy,Apron with pocket Ramsey navy one size,Apron with pocket Ramsey navy one size,"Deze halterschort is duurzaam geproduceerd en ontwikkeld voor de horeca-sector en de hobby-kok. Zware kwaliteit.<br/><br/>- Dubbel gestikte naden en 60°C wasbaar.<br/>- Verstelbare gesp in de nek voor meer comfort. Rugsluiting d.m.v. een lint.<br/>- Grote, dubbele zak vooraan.<br/>- Duurzaam 225-grams halterschort, vervaardigd uit 35% voorgekrompen katoen en 65% gerecycled polyester. <br/>- Geschikt voor zowel thuis als in de horeca.<br/>- Beschikbaar in één maat (LxB 90x75cm). <br/>- Dit artikel heeft een merklabel.",https://tghimages.nl/B2B_APRN_NAVY_FRONT.JPG
B2B-BEA,B2B Beanie Sammy,B2B-BEABL,1,Back To Basics,,B2B-BEABL,B2B Beanie Sammy,"6,10E+12",1,"1,5",one size,black,Beanie Sammy black one size,Beanie Sammy black one size,"Deze dubbellaagse beanie met omslag is gemaakt van hoogwaardig acryl voor ultiem comfort en warmte. De dubbele laag biedt extra isolatie, terwijl de omslag een klassieke en veelzijdige stijl toevoegt. Perfect voor koude dagen, deze beanie combineert functionaliteit met een tijdloos design.<br/><br/>- Gemaakt van stevig, maar zacht aanvoelend acryl.<br/>- 2 Lagen van 325gr/m² voor extra isolatie.<br/>- Te dragen op de werkvloer of in je vrije tijd.<br/>- Beschikbaar in één maat (one size). <br/>- Dit artikel heeft een merklabel.",https://tghimages.nl/B2B_BEA_BLACK_FRONT.JPG
B2B-BEA,B2B Beanie Sammy,B2B-BEAGR,1,Back To Basics,,B2B-BEAGR,B2B Beanie Sammy,"6,10E+12",1,"1,6",one size,grey,Beanie Sammy grey one size,Beanie Sammy grey one size,"Deze dubbellaagse beanie met omslag is gemaakt van hoogwaardig acryl voor ultiem comfort en warmte. De dubbele laag biedt extra isolatie, terwijl de omslag een klassieke en veelzijdige stijl toevoegt. Perfect voor koude dagen, deze beanie combineert functionaliteit met een tijdloos design.<br/><br/>- Gemaakt van stevig, maar zacht aanvoelend acryl.<br/>- 2 Lagen van 325gr/m² voor extra isolatie.<br/>- Te dragen op de werkvloer of in je vrije tijd.<br/>- Beschikbaar in één maat (one size). <br/>- Dit artikel heeft een merklabel.",https://tghimages.nl/B2B_BEA_GREY_FRONT.JPG
B2B-BEA,B2B Beanie Sammy,B2B-BEANA,1,Back To Basics,,B2B-BEANA,B2B Beanie Sammy,"6,10E+12",1,"1,7",one size,navy,Beanie Sammy navy one size,Beanie Sammy navy one size,"Deze dubbellaagse beanie met omslag is gemaakt van hoogwaardig acryl voor ultiem comfort en warmte. De dubbele laag biedt extra isolatie, terwijl de omslag een klassieke en veelzijdige stijl toevoegt. Perfect voor koude dagen, deze beanie combineert functionaliteit met een tijdloos design.<br/><br/>- Gemaakt van stevig, maar zacht aanvoelend acryl.<br/>- 2 Lagen van 325gr/m² voor extra isolatie.<br/>- Te dragen op de werkvloer of in je vrije tijd.<br/>- Beschikbaar in één maat (one size). <br/>- Dit artikel heeft een merklabel.",https://tghimages.nl/B2B_BEA_NAVY_FRONT.JPG
B2B-BEA,B2B Beanie Sammy,B2B-BEARB,1,Back To Basics,,B2B-BEARB,B2B Beanie Sammy,"6,10E+12",1,"1,8",one size,royal blue,Beanie Sammy royal blue one size,Beanie Sammy royal blue one size,"Deze dubbellaagse beanie met omslag is gemaakt van hoogwaardig acryl voor ultiem comfort en warmte. De dubbele laag biedt extra isolatie, terwijl de omslag een klassieke en veelzijdige stijl toevoegt. Perfect voor koude dagen, deze beanie combineert functionaliteit met een tijdloos design.<br/><br/>- Gemaakt van stevig, maar zacht aanvoelend acryl.<br/>- 2 Lagen van 325gr/m² voor extra isolatie.<br/>- Te dragen op de werkvloer of in je vrije tijd.<br/>- Beschikbaar in één maat (one size). <br/>- Dit artikel heeft een merklabel.",https://tghimages.nl/B2B_BEA_ROYAL_BLUE_FRONT.JPG
B2B-BEA,B2B Beanie Sammy,B2B-BEARE,1,Back To Basics,,B2B-BEARE,B2B Beanie Sammy,"6,10E+12",1,"1,9",one size,red,Beanie Sammy red one size,Beanie Sammy red one size,"Deze dubbellaagse beanie met omslag is gemaakt van hoogwaardig acryl voor ultiem comfort en warmte. De dubbele laag biedt extra isolatie, terwijl de omslag een klassieke en veelzijdige stijl toevoegt. Perfect voor koude dagen, deze beanie combineert functionaliteit met een tijdloos design.<br/><br/>- Gemaakt van stevig, maar zacht aanvoelend acryl.<br/>- 2 Lagen van 325gr/m² voor extra isolatie.<br/>- Te dragen op de werkvloer of in je vrije tijd.<br/>- Beschikbaar in één maat (one size). <br/>- Dit artikel heeft een merklabel.",https://tghimages.nl/B2B_BEA_RED_FRONT.JPG
B2B-BHBSW,B2B Basics Hooded band sweater Timmy,B2B-BHBSWBL00,1,Back To Basics,,B2B-BHBSWBL00,B2B Basics Hooded band sweater Timmy,"6,10E+12",1,2,XS,black,Basic hooded band sweater Timmy black XS,Basic hooded band sweater Timmy black XS,"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.",https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
B2B-BHBSW,B2B Basics Hooded band sweater Timmy,B2B-BHBSWBL01,1,Back To Basics,,B2B-BHBSWBL01,B2B Basics Hooded band sweater Timmy,"6,10E+12",1,"2,1",S,black,Basic hooded band sweater Timmy black S,Basic hooded band sweater Timmy black S,"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.",https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
B2B-BHBSW,B2B Basics Hooded band sweater Timmy,B2B-BHBSWBL02,1,Back To Basics,,B2B-BHBSWBL02,B2B Basics Hooded band sweater Timmy,"6,10E+12",1,"2,2",M,black,Basic hooded band sweater Timmy black M,Basic hooded band sweater Timmy black M,"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.",https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
B2B-BHBSW,B2B Basics Hooded band sweater Timmy,B2B-BHBSWBL03,1,Back To Basics,,B2B-BHBSWBL03,B2B Basics Hooded band sweater Timmy,"6,10E+12",1,"2,3",L,black,Basic hooded band sweater Timmy black L,Basic hooded band sweater Timmy black L,"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.",https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
B2B-BHBSW,B2B Basics Hooded band sweater Timmy,B2B-BHBSWBL04,1,Back To Basics,,B2B-BHBSWBL04,B2B Basics Hooded band sweater Timmy,"6,10E+12",1,"2,4",XL,black,Basic hooded band sweater Timmy black XL,Basic hooded band sweater Timmy black XL,"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.",https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
B2B-BHBSW,B2B Basics Hooded band sweater Timmy,B2B-BHBSWBL05,1,Back To Basics,,B2B-BHBSWBL05,B2B Basics Hooded band sweater Timmy,"6,10E+12",1,"2,5",XXL,black,Basic hooded band sweater Timmy black XXL,Basic hooded band sweater Timmy black XXL,"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.",https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
B2B-BHBSW,B2B Basics Hooded band sweater Timmy,B2B-BHBSWBL06,1,Back To Basics,,B2B-BHBSWBL06,B2B Basics Hooded band sweater Timmy,"6,10E+12",1,"2,6",3XL,black,Basic hooded band sweater Timmy black 3XL,Basic hooded band sweater Timmy black 3XL,"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.",https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
B2B-BHBSW,B2B Basics Hooded band sweater Timmy,B2B-BHBSWBL07,1,Back To Basics,,B2B-BHBSWBL07,B2B Basics Hooded band sweater Timmy,"6,10E+12",1,"2,7",4XL,black,Basic hooded band sweater Timmy black 4XL,Basic hooded band sweater Timmy black 4XL,"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.",https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
B2B-BHBSW,B2B Basics Hooded band sweater Timmy,B2B-BHBSWBL08,1,Back To Basics,,B2B-BHBSWBL08,B2B Basics Hooded band sweater Timmy,"6,10E+12",1,"2,8",5XL,black,Basic hooded band sweater Timmy black 5XL,Basic hooded band sweater Timmy black 5XL,"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.",https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
B2B-BHBSW,B2B Basics Hooded band sweater Timmy,B2B-BHBSWBL09,1,Back To Basics,,B2B-BHBSWBL09,B2B Basics Hooded band sweater Timmy,"6,10E+12",1,"2,9",6XL,black,Basic hooded band sweater Timmy black 6XL,Basic hooded band sweater Timmy black 6XL,"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.",https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
B2B-BHBSW,B2B Basics Hooded band sweater Timmy,B2B-BHBSWBL10,1,Back To Basics,,B2B-BHBSWBL10,B2B Basics Hooded band sweater Timmy,"6,10E+12",1,3,7XL,black,Basic hooded band sweater Timmy black 7XL,Basic hooded band sweater Timmy black 7XL,"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.",https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
B2B-BHBSW,B2B Basics Hooded band sweater Timmy,B2B-BHBSWNA00,1,Back To Basics,,B2B-BHBSWNA00,B2B Basics Hooded band sweater Timmy,"6,10E+12",1,"3,1",XS,navy,Basic hooded band sweater Timmy navy XS,Basic hooded band sweater Timmy navy XS,"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.",https://tghimages.nl/B2B_BHBSW_NAVY_FRONT.JPG
B2B-BHBSW,B2B Basics Hooded band sweater Timmy,B2B-BHBSWNA01,1,Back To Basics,,B2B-BHBSWNA01,B2B Basics Hooded band sweater Timmy,"6,10E+12",1,"3,2",S,navy,Basic hooded band sweater Timmy navy S,Basic hooded band sweater Timmy navy S,"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.",https://tghimages.nl/B2B_BHBSW_NAVY_FRONT.JPG
B2B-BHBSW,B2B Basics Hooded band sweater Timmy,B2B-BHBSWNA02,1,Back To Basics,,B2B-BHBSWNA02,B2B Basics Hooded band sweater Timmy,"6,10E+12",1,"3,3",M,navy,Basic hooded band sweater Timmy navy M,Basic hooded band sweater Timmy navy M,"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.",https://tghimages.nl/B2B_BHBSW_NAVY_FRONT.JPG
B2B-BHBSW,B2B Basics Hooded band sweater Timmy,B2B-BHBSWNA03,1,Back To Basics,,B2B-BHBSWNA03,B2B Basics Hooded band sweater Timmy,"6,10E+12",1,"3,4",L,navy,Basic hooded band sweater Timmy navy L,Basic hooded band sweater Timmy navy L,"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.",https://tghimages.nl/B2B_BHBSW_NAVY_FRONT.JPG
B2B-BHBSW,B2B Basics Hooded band sweater Timmy,B2B-BHBSWNA04,1,Back To Basics,,B2B-BHBSWNA04,B2B Basics Hooded band sweater Timmy,"6,10E+12",1,"3,5",XL,navy,Basic hooded band sweater Timmy navy XL,Basic hooded band sweater Timmy navy XL,"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.",https://tghimages.nl/B2B_BHBSW_NAVY_FRONT.JPG
B2B-BHBSW,B2B Basics Hooded band sweater Timmy,B2B-BHBSWNA05,1,Back To Basics,,B2B-BHBSWNA05,B2B Basics Hooded band sweater Timmy,"6,10E+12",1,"3,6",XXL,navy,Basic hooded band sweater Timmy navy XXL,Basic hooded band sweater Timmy navy XXL,"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.",https://tghimages.nl/B2B_BHBSW_NAVY_FRONT.JPG
