model;model_name;sku;status;brand;category;article_number;article_name;material;ean;safety_standard;qty;buying_price;price;size;color;name_en;short_desc_en;full_description_en;image;model_image
W-201-B2B-BHBSW;"B2B Basics Hooded band sweater Timmy";B2B-BHBSWBL02;1;"Back To Basics";"test category";B2B-BHBSWBL02;"B2B Basics Hooded band sweater Timmy black M";"50% cotton, 50% polyester";6,10E+12;"ISO 15797";1;1.00;2.00;M;black;"Basic hooded band sweater Timmy black M";"Basic hooded band sweater Timmy black M";"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.";https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG;https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
W-201-B2B-BHBSW;"B2B Basics Hooded band sweater Timmy";B2B-BHBSWBL03;1;"Back To Basics";"test category";B2B-BHBSWBL03;"B2B Basics Hooded band sweater Timmy black L";"50% cotton, 50% polyester";6,10E+12;"ISO 15797";1;1.00;2.00;L;black;"Basic hooded band sweater Timmy black L";"Basic hooded band sweater Timmy black L";"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.";https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG;https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
W-201-B2B-BHBSW;"B2B Basics Hooded band sweater Timmy";B2B-BHBSWBL04;1;"Back To Basics";"test category";B2B-BHBSWBL04;"B2B Basics Hooded band sweater Timmy black XL";"50% cotton, 50% polyester";6,10E+12;"ISO 15797";1;1.00;2.00;XL;black;"Basic hooded band sweater Timmy black XL";"Basic hooded band sweater Timmy black XL";"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.";https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG;https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
W-201-B2B-BHBSW;"B2B Basics Hooded band sweater Timmy";B2B-BHBSWBL05;1;"Back To Basics";"test category";B2B-BHBSWBL05;"B2B Basics Hooded band sweater Timmy black XXL";"50% cotton, 50% polyester";6,10E+12;"ISO 15797";1;1.00;2.00;XXL;black;"Basic hooded band sweater Timmy black XXL";"Basic hooded band sweater Timmy black XXL";"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.";https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG;https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
W-201-B2B-BHBSW;"B2B Basics Hooded band sweater Timmy";B2B-BHBSWBL06;1;"Back To Basics";"test category";B2B-BHBSWBL06;"B2B Basics Hooded band sweater Timmy black 3XL";"50% cotton, 50% polyester";6,10E+12;"ISO 15797";1;1.00;2.00;3XL;black;"Basic hooded band sweater Timmy black 3XL";"Basic hooded band sweater Timmy black 3XL";"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.";https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG;https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
W-201-B2B-BHBSW;"B2B Basics Hooded band sweater Timmy";B2B-BHBSWBL07;1;"Back To Basics";"test category";B2B-BHBSWBL07;"B2B Basics Hooded band sweater Timmy black 4XL";"50% cotton, 50% polyester";6,10E+12;"ISO 15797";1;1.00;2.00;4XL;black;"Basic hooded band sweater Timmy black 4XL";"Basic hooded band sweater Timmy black 4XL";"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.";https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG;https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
W-201-B2B-BHBSW;"B2B Basics Hooded band sweater Timmy";B2B-BHBSWBL08;1;"Back To Basics";"test category";B2B-BHBSWBL08;"B2B Basics Hooded band sweater Timmy black 5XL";"50% cotton, 50% polyester";6,10E+12;"ISO 15797";1;1.00;2.00;5XL;black;"Basic hooded band sweater Timmy black 5XL";"Basic hooded band sweater Timmy black 5XL";"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.";https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG;https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
W-201-B2B-BHBSW;"B2B Basics Hooded band sweater Timmy";B2B-BHBSWBL09;1;"Back To Basics";"test category";B2B-BHBSWBL09;"B2B Basics Hooded band sweater Timmy black 6XL";"50% cotton, 50% polyester";6,10E+12;"ISO 15797";1;1.00;2.00;6XL;black;"Basic hooded band sweater Timmy black 6XL";"Basic hooded band sweater Timmy black 6XL";"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.";https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG;https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
W-201-B2B-BHBSW;"B2B Basics Hooded band sweater Timmy";B2B-BHBSWBL10;1;"Back To Basics";"test category";B2B-BHBSWBL10;"B2B Basics Hooded band sweater Timmy black 7XL";"50% cotton, 50% polyester";6,10E+12;"ISO 15797";1;1.00;3.00;7XL;black;"Basic hooded band sweater Timmy black 7XL";"Basic hooded band sweater Timmy black 7XL";"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.";https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG;https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
W-201-B2B-BHBSW;"B2B Basics Hooded band sweater Timmy";B2B-BHBSWNA00;1;"Back To Basics";"test category";B2B-BHBSWNA00;"B2B Basics Hooded band sweater Timmy navy XS";"50% cotton, 50% polyester";6,10E+12;"ISO 15797";1;2.00;3.00;XS;navy;"Basic hooded band sweater Timmy navy XS";"Basic hooded band sweater Timmy navy XS";"Deze comfortabele hoody combineert warmte en stijl in één. De binnenzijde is gevoerd met zachte, geborstelde fleece voor extra draagcomfort en een aangenaam warm gevoel. Dankzij de ribboorden sluit de pasvorm perfect aan. Geschikt voor dagelijks gebruik, maar ook ideaal als relatiegeschenk of als werkkleding. <br/>- Voorzien van dubbel gestikte naden, stevige nektape en wasbaar op 40°C. <br/>- Geborstelde fleece aan de binnenkant, set-in mouwen, brede ribgebreide boorden en een comfortabele capuchon met trekkoorden. <br/>- Gemaakt van duurzaam 260 grams materiaal: 50% katoen en 50% polyester. <br/>- Geleverd met hangtag en polybags inclusief barcode. <br/>- Toepasbaar als promotie-, werk- en casual vrijetijdskleding. <br/>- Beschikbaar in de maten XS t/m 7XL. <br/><br/>Ook mogelijk in uw gewenste PMS-kleur aan dezelfde prijs, minimaal 300 stuks door de maten heen.";https://tghimages.nl/B2B_BHBSW_NAVY_FRONT.JPG;https://tghimages.nl/B2B_BHBSW_BLACK_FRONT.JPG
